step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
91,CASH_OUT,189507,449395,259888,170806,360313,0
92,PAYMENT,760563,94476,0,17019,777582,0
93,TRANSFER,222966,86672,0,28251,251217,0
94,TRANSFER,550333,877284,326951,5949,5949,1
95,CASH_OUT,744940,100235,0,66617,811557,0
96,CASH_OUT,917330,177247,0,20056,937386,0
97,TRANSFER,638936,373632,0,184294,823230,0
98,TRANSFER,541352,637717,96365,67215,608567,0
99,PAYMENT,203961,355612,151651,192461,396422,0
100,PAYMENT,699538,865264,165726,51293,750831,0
101,CASH_OUT,191575,160196,0,166319,357894,0
102,CASH_OUT,485063,455968,0,26646,511709,0
103,PAYMENT,735065,360260,0,97379,832444,0
104,PAYMENT,433474,720777,287303,23289,456763,0
105,CASH_OUT,272067,191232,0,16364,288431,0
106,PAYMENT,52091,188751,136660,104182,156273,0
107,CASH_OUT,49215,353151,303936,197459,246674,0
108,TRANSFER,989973,536226,0,4000,993973,0
109,CASH_OUT,355854,251492,0,38304,394158,0
110,TRANSFER,607374,151836,0,5726,5726,1
111,PAYMENT,621920,879090,257170,123633,745553,0
112,TRANSFER,617396,880729,263333,16281,16281,1
113,TRANSFER,207969,65953,0,3267,3267,1
114,TRANSFER,825045,157164,0,7543,832588,0
115,TRANSFER,60792,220156,159364,11657,11657,1
116,PAYMENT,691195,833727,142532,114352,805547,0
117,TRANSFER,18055,824273,806218,2143,2143,1
118,PAYMENT,400673,425695,25022,61476,462149,0
119,PAYMENT,675610,595468,0,174358,849968,0
120,CASH_OUT,414668,186141,0,14397,429065,0
121,PAYMENT,918332,968021,49689,119180,1037512,0
122,CASH_OUT,178452,79459,0,7400,7400,1
123,CASH_OUT,725356,952774,227418,51934,777290,0
124,DEBIT,840630,454137,0,5486,846116,0
125,PAYMENT,650408,627083,0,142202,792610,0
126,PAYMENT,642712,322710,0,197775,840487,0
127,CASH_OUT,608464,89780,0,11174,619638,0
128,DEBIT,889565,533636,0,154786,1044351,0
129,CASH_OUT,364878,89930,0,6731,6731,1
130,TRANSFER,214045,231915,17870,175333,389378,0
131,PAYMENT,177904,705703,527799,39081,216985,0
132,PAYMENT,220030,805497,585467,88092,308122,0
133,PAYMENT,289206,28295,0,13807,303013,0
134,CASH_OUT,238167,485008,246841,168152,406319,0
135,TRANSFER,518023,166981,0,165650,683673,0
136,CASH_OUT,234777,26790,0,186201,420978,0
137,PAYMENT,539873,830914,291041,86188,626061,0
138,PAYMENT,664895,790141,125246,123961,788856,0
139,TRANSFER,451115,406332,0,42918,494033,0
140,TRANSFER,501808,866651,364843,28016,529824,0
141,PAYMENT,214020,889765,675745,114821,328841,0
142,CASH_OUT,504592,653983,149391,128148,632740,0
143,PAYMENT,355640,192714,0,21732,377372,0
144,PAYMENT,423670,275987,0,114065,537735,0
145,PAYMENT,52628,824845,772217,52638,105266,0
146,DEBIT,634521,368501,0,199938,834459,0
147,CASH_OUT,155676,924618,768942,10975,10975,1
148,PAYMENT,388143,286103,0,66203,454346,0
149,PAYMENT,9437,570715,561278,61529,70966,0
150,PAYMENT,630175,687281,57106,33307,663482,0
151,PAYMENT,127116,791267,664151,20159,147275,0
152,PAYMENT,384034,892048,508014,169160,553194,0
153,PAYMENT,319287,690907,371620,97007,416294,0
154,PAYMENT,165521,122402,0,118012,283533,0
155,CASH_OUT,580566,573695,0,129473,710039,0
156,PAYMENT,844673,417009,0,56570,901243,0
157,PAYMENT,525403,61813,0,27712,553115,0
158,PAYMENT,767314,112816,0,128778,896092,0
159,TRANSFER,135330,718040,582710,72474,207804,0
160,TRANSFER,151556,804449,652893,8702,8702,1
161,PAYMENT,958547,703286,0,160261,1118808,0
162,TRANSFER,715560,884574,169014,80642,796202,0
163,TRANSFER,810056,200244,0,163273,973329,0
164,PAYMENT,507064,449613,0,121288,628352,0
165,PAYMENT,831638,316076,0,148172,979810,0
166,PAYMENT,201252,299888,98636,176615,377867,0
167,TRANSFER,36287,505950,469663,14489,14489,1
168,PAYMENT,586265,436341,0,49922,636187,0
169,TRANSFER,561519,960448,398929,106884,668403,0
170,PAYMENT,299870,698168,398298,184943,484813,0
171,PAYMENT,539642,44238,0,1252,540894,0
172,TRANSFER,955045,485450,0,15781,15781,1
173,TRANSFER,7049,763185,756136,138013,145062,0
174,TRANSFER,780822,455102,0,94456,875278,0
175,TRANSFER,883771,304462,0,70390,954161,0
176,TRANSFER,567476,247940,0,55479,622955,0
177,CASH_OUT,510836,806395,295559,4164,4164,1
178,DEBIT,800920,5569,0,69836,870756,0
179,PAYMENT,258190,667375,409185,45002,303192,0
180,PAYMENT,934748,679574,0,137162,1071910,0
181,PAYMENT,24171,582531,558360,125827,149998,0
182,PAYMENT,257318,214879,0,101570,358888,0
183,TRANSFER,901891,862129,0,142386,1044277,0
184,PAYMENT,480821,111195,0,103081,583902,0
185,PAYMENT,341496,564037,222541,130560,472056,0
186,TRANSFER,148079,149849,1770,108464,256543,0
187,TRANSFER,898960,212890,0,10488,10488,1
188,PAYMENT,174393,927982,753589,186717,361110,0
189,PAYMENT,381075,183868,0,135504,516579,0
190,PAYMENT,210276,190471,0,127600,337876,0
191,TRANSFER,743191,518862,0,131127,874318,0
192,PAYMENT,389693,815131,425438,73686,463379,0
193,TRANSFER,245221,672108,426887,15034,15034,1
194,PAYMENT,922730,660482,0,18030,940760,0
195,CASH_OUT,448974,562926,113952,19729,19729,1
196,PAYMENT,629574,821106,191532,166926,796500,0
197,PAYMENT,431834,373220,0,141339,573173,0
198,PAYMENT,247836,574736,326900,95462,343298,0
199,PAYMENT,770273,572203,0,4632,774905,0
200,CASH_OUT,372023,399384,27361,82152,454175,0
201,PAYMENT,26834,923875,897041,26069,52903,0
202,TRANSFER,335723,470951,135228,72274,407997,0
203,PAYMENT,191176,194053,2877,185625,376801,0
204,TRANSFER,912926,599991,0,112581,1025507,0
205,TRANSFER,714116,902580,188464,18117,18117,1
206,PAYMENT,72403,158211,85808,187210,259613,0
207,PAYMENT,862657,144990,0,158518,1021175,0
208,CASH_OUT,523238,418034,0,4324,4324,1
209,DEBIT,955714,540677,0,122177,1077891,0
210,TRANSFER,684206,122883,0,117,117,1
211,PAYMENT,799766,260669,0,53441,853207,0
212,TRANSFER,341483,244761,0,6469,6469,1
213,DEBIT,64423,616210,551787,189139,253562,0
214,TRANSFER,954580,235659,0,6233,6233,1
215,CASH_OUT,566921,788260,221339,32254,599175,0
216,PAYMENT,510030,571650,61620,20128,530158,0
217,PAYMENT,714843,589833,0,82180,797023,0
218,PAYMENT,919823,301953,0,116748,1036571,0
219,TRANSFER,951991,8512,0,10568,10568,1
220,CASH_OUT,772142,93070,0,157686,929828,0
221,CASH_OUT,42178,368432,326254,12219,54397,0
222,DEBIT,127409,329588,202179,139639,267048,0
223,DEBIT,720901,346699,0,73698,794599,0
224,PAYMENT,660875,691519,30644,43925,704800,0
225,PAYMENT,87488,532295,444807,172904,260392,0
226,CASH_OUT,948127,351005,0,15524,963651,0
227,CASH_OUT,679390,917581,238191,20611,700001,0
228,PAYMENT,738445,477272,0,43303,781748,0
229,PAYMENT,684747,39711,0,143026,827773,0
230,TRANSFER,989124,218134,0,140256,1129380,0
231,PAYMENT,689476,535534,0,176630,866106,0
232,TRANSFER,914328,953959,39631,11302,11302,1
233,PAYMENT,579305,223810,0,96646,675951,0
234,TRANSFER,490125,480703,0,5788,5788,1
235,PAYMENT,25153,402662,377509,131994,157147,0
236,CASH_OUT,273033,884152,611119,17334,17334,1
237,PAYMENT,854311,281173,0,59201,913512,0
238,CASH_OUT,243422,174944,0,6371,6371,1
239,PAYMENT,850967,302775,0,129038,980005,0
240,CASH_OUT,64872,126108,61236,2891,2891,1
241,CASH_OUT,147650,232050,84400,124714,272364,0
242,TRANSFER,595703,864266,268563,76325,672028,0
243,PAYMENT,55418,394030,338612,115033,170451,0
244,CASH_OUT,133615,993497,859882,125885,259500,0
245,PAYMENT,670788,188014,0,91751,762539,0
246,CASH_OUT,695375,823651,128276,195716,891091,0
247,CASH_OUT,890795,126,0,8795,8795,1
248,PAYMENT,317420,250869,0,175399,492819,0
249,CASH_OUT,179054,669078,490024,3476,3476,1
250,PAYMENT,178695,648373,469678,117718,296413,0
251,CASH_OUT,100258,708533,608275,119719,219977,0
252,TRANSFER,667154,318408,0,57545,724699,0
253,CASH_OUT,884477,13224,0,16920,16920,1
254,CASH_OUT,466825,663937,197112,8666,475491,0
255,TRANSFER,298612,662143,363531,4971,4971,1
256,CASH_OUT,771353,504471,0,176837,948190,0
257,PAYMENT,832772,383152,0,168220,1000992,0
258,TRANSFER,791289,543385,0,5588,5588,1
259,TRANSFER,857012,570451,0,52853,909865,0
260,CASH_OUT,677026,206524,0,9984,9984,1
261,PAYMENT,435265,878806,443541,133554,568819,0
262,PAYMENT,451382,93501,0,2079,453461,0
263,PAYMENT,945556,741804,0,173532,1119088,0
264,PAYMENT,617995,220178,0,149521,767516,0
265,PAYMENT,824790,703662,0,159937,984727,0
266,TRANSFER,562388,551025,0,156594,718982,0
267,PAYMENT,186340,576775,390435,129948,316288,0
268,PAYMENT,311014,78623,0,103177,414191,0
269,PAYMENT,862161,907425,45264,183675,1045836,0
270,CASH_OUT,737434,630235,0,109575,847009,0
271,PAYMENT,207706,972610,764904,30678,238384,0
272,TRANSFER,770144,336199,0,19694,19694,1
273,TRANSFER,40086,679520,639434,64929,105015,0
274,CASH_OUT,873659,425037,0,113453,987112,0
275,CASH_OUT,905767,316915,0,121300,1027067,0
276,PAYMENT,66458,410543,344085,47057,113515,0
277,PAYMENT,254826,278176,23350,2198,257024,0
278,CASH_OUT,937683,167292,0,181532,1119215,0
279,PAYMENT,402021,960384,558363,23236,425257,0
280,PAYMENT,627533,670718,43185,94914,722447,0
281,TRANSFER,378487,538884,160397,1279,1279,1
282,TRANSFER,392517,980020,587503,11093,11093,1
283,CASH_OUT,963252,256713,0,67642,1030894,0
284,CASH_OUT,217315,955103,737788,35954,253269,0
285,TRANSFER,995948,559655,0,99608,1095556,0
286,PAYMENT,841561,148757,0,130282,971843,0
287,PAYMENT,842493,238009,0,126678,969171,0
288,TRANSFER,318377,518271,199894,5475,5475,1
289,PAYMENT,157829,957456,799627,153252,311081,0
290,TRANSFER,652765,995915,343150,8041,8041,1
291,PAYMENT,51326,499512,448186,81182,132508,0
292,CASH_OUT,4363,751883,747520,47924,52287,0
293,PAYMENT,452368,929168,476800,35737,488105,0
294,PAYMENT,684833,510585,0,167469,852302,0
295,PAYMENT,101471,562997,461526,192192,293663,0
296,PAYMENT,535943,996121,460178,53276,589219,0
297,PAYMENT,513419,780298,266879,89599,603018,0
298,CASH_OUT,418078,11046,0,116021,534099,0
299,PAYMENT,416466,985751,569285,4853,421319,0
300,PAYMENT,482715,415008,0,59129,541844,0
301,PAYMENT,244983,638418,393435,198370,443353,0
302,CASH_OUT,929716,121789,0,38890,968606,0
303,PAYMENT,688381,499137,0,132596,820977,0
304,PAYMENT,952715,693264,0,54912,1007627,0
305,PAYMENT,730126,607847,0,55337,785463,0
306,PAYMENT,24454,45186,20732,28145,52599,0
307,CASH_OUT,499983,730546,230563,18706,18706,1
308,PAYMENT,245790,331770,85980,6960,252750,0
309,PAYMENT,180653,560696,380043,94006,274659,0
310,TRANSFER,151663,656701,505038,131410,283073,0
311,TRANSFER,707320,11344,0,67957,775277,0
312,TRANSFER,464171,671256,207085,77454,541625,0
313,TRANSFER,352844,909164,556320,159007,511851,0
314,TRANSFER,856874,369040,0,19541,19541,1
315,CASH_OUT,44913,692558,647645,142194,187107,0
316,CASH_OUT,476757,566074,89317,137809,614566,0
317,TRANSFER,838103,287654,0,148922,987025,0
318,CASH_OUT,611700,89613,0,121826,733526,0
319,TRANSFER,450448,210017,0,134055,584503,0
320,PAYMENT,810042,733547,0,172070,982112,0
321,PAYMENT,793172,306691,0,54620,847792,0
322,TRANSFER,269808,682705,412897,79273,349081,0
323,CASH_OUT,110117,991542,881425,197153,307270,0
324,PAYMENT,815962,730892,0,27788,843750,0
325,PAYMENT,931523,855778,0,96122,1027645,0
326,DEBIT,540759,831516,290757,160701,701460,0
327,PAYMENT,598360,193259,0,12984,611344,0
328,TRANSFER,870223,845038,0,105373,975596,0
329,PAYMENT,921034,250195,0,143748,1064782,0
330,TRANSFER,741140,526338,0,24951,766091,0
331,PAYMENT,711079,950417,239338,112573,823652,0
332,TRANSFER,713235,221888,0,166472,879707,0
333,PAYMENT,122844,875863,753019,43001,165845,0
334,CASH_OUT,831560,238506,0,131878,963438,0
335,CASH_OUT,652689,912727,260038,34636,687325,0
336,DEBIT,810794,866867,56073,193283,1004077,0
337,PAYMENT,450295,769884,319589,169269,619564,0
338,TRANSFER,951761,863561,0,17208,17208,1
339,PAYMENT,682836,186626,0,145271,828107,0
340,PAYMENT,968552,598069,0,66262,1034814,0
341,CASH_OUT,76998,455699,378701,26172,103170,0
342,PAYMENT,477702,780977,303275,156497,634199,0
343,TRANSFER,375099,942082,566983,61413,436512,0
344,TRANSFER,295904,468974,173070,4675,4675,1
345,TRANSFER,765637,673034,0,154946,920583,0
346,PAYMENT,491136,327304,0,17602,508738,0
347,DEBIT,288175,94377,0,29192,317367,0
348,PAYMENT,829052,326916,0,189834,1018886,0
349,PAYMENT,25659,892027,866368,33742,59401,0
350,PAYMENT,677214,135044,0,70831,748045,0
351,PAYMENT,893064,912699,19635,140975,1034039,0
352,TRANSFER,872488,86988,0,125991,998479,0
353,CASH_OUT,901537,526684,0,128322,1029859,0
354,PAYMENT,161733,333863,172130,99616,261349,0
355,CASH_OUT,269558,19623,0,18088,18088,1
356,PAYMENT,707216,884056,176840,157364,864580,0
357,TRANSFER,872738,69274,0,153606,1026344,0
358,CASH_OUT,574096,74553,0,185374,759470,0
359,CASH_OUT,892397,527007,0,3741,3741,1
360,CASH_OUT,616629,412003,0,189004,805633,0
361,TRANSFER,164234,75713,0,9882,9882,1
362,DEBIT,952436,520551,0,163038,1115474,0
363,PAYMENT,168483,818007,649524,63852,232335,0
364,CASH_OUT,202153,600530,398377,29257,231410,0
365,PAYMENT,144453,323390,178937,1435,145888,0
366,TRANSFER,615745,157732,0,13507,13507,1
367,PAYMENT,438855,902385,463530,138563,577418,0
368,PAYMENT,705652,997899,292247,123797,829449,0
369,TRANSFER,795609,772800,0,11383,11383,1
370,PAYMENT,854421,679181,0,168639,1023060,0
371,TRANSFER,676655,601763,0,152499,829154,0
372,CASH_OUT,742506,843804,101298,7813,7813,1
373,PAYMENT,782339,617394,0,27082,809421,0
374,TRANSFER,437885,11745,0,3356,3356,1
375,CASH_OUT,613574,924044,310470,199950,813524,0
376,CASH_OUT,338176,148554,0,13998,13998,1
377,TRANSFER,920697,994762,74065,19280,19280,1
378,DEBIT,224795,884315,659520,33756,258551,0
379,CASH_OUT,213043,783204,570161,48901,261944,0
380,CASH_OUT,687656,390530,0,12857,12857,1
381,CASH_OUT,937586,994465,56879,19440,19440,1
382,TRANSFER,507503,26385,0,18639,526142,0
383,TRANSFER,283807,956845,673038,3676,3676,1
384,CASH_OUT,729778,345114,0,161779,891557,0
385,PAYMENT,717248,607167,0,169899,887147,0
386,PAYMENT,831391,971129,139738,52098,883489,0
387,PAYMENT,787058,330904,0,47837,834895,0
388,PAYMENT,798068,552829,0,79083,877151,0
389,PAYMENT,270956,366245,95289,65455,336411,0
390,PAYMENT,654137,791541,137404,49268,703405,0
391,TRANSFER,606891,254346,0,191184,798075,0
392,PAYMENT,778613,157661,0,161087,939700,0
393,PAYMENT,388690,717406,328716,106661,495351,0
394,PAYMENT,677264,959192,281928,64288,741552,0
395,DEBIT,445964,292231,0,181002,626966,0
396,PAYMENT,832699,730664,0,174480,1007179,0
397,PAYMENT,445585,693919,248334,96347,541932,0
398,TRANSFER,336685,730023,393338,16385,16385,1
399,TRANSFER,898892,176076,0,14451,14451,1
400,PAYMENT,314570,633025,318455,154470,469040,0
401,PAYMENT,338141,212977,0,127118,465259,0
402,PAYMENT,9178,942507,933329,62768,71946,0
403,DEBIT,844192,759746,0,180858,1025050,0
404,PAYMENT,760681,642120,0,130406,891087,0
405,TRANSFER,33420,327025,293605,102215,135635,0
406,TRANSFER,920993,943187,22194,2430,2430,1
407,PAYMENT,177335,98511,0,197507,374842,0
408,TRANSFER,606329,729497,123168,187518,793847,0
409,TRANSFER,619469,561165,0,15349,15349,1
410,TRANSFER,634479,519052,0,83186,717665,0
411,PAYMENT,151194,910061,758867,183651,334845,0
412,TRANSFER,28480,634486,606006,92447,120927,0
413,PAYMENT,806581,468933,0,105361,911942,0
414,TRANSFER,168584,789352,620768,191387,359971,0
415,PAYMENT,225414,438716,213302,16309,241723,0
416,PAYMENT,491972,516998,25026,161099,653071,0
417,PAYMENT,374584,508062,133478,59321,433905,0
418,TRANSFER,860663,441124,0,3453,3453,1
419,DEBIT,301307,376369,75062,116400,417707,0
420,TRANSFER,720588,596387,0,12003,12003,1
421,CASH_OUT,288261,994211,705950,143273,431534,0
422,DEBIT,700701,42229,0,86652,787353,0
423,PAYMENT,703824,912935,209111,84878,788702,0
424,PAYMENT,521085,19975,0,157795,678880,0
425,CASH_OUT,929165,197133,0,33142,962307,0
426,PAYMENT,176137,388076,211939,135720,311857,0
427,PAYMENT,620447,622605,2158,35046,655493,0
428,PAYMENT,762085,200422,0,45893,807978,0
429,TRANSFER,585660,747512,161852,64674,650334,0
430,TRANSFER,144932,152999,8067,143660,288592,0
431,PAYMENT,235906,904586,668680,183305,419211,0
432,PAYMENT,344433,338511,0,120585,465018,0
433,TRANSFER,19916,959744,939828,79530,99446,0
434,CASH_OUT,371100,213567,0,107803,478903,0
435,PAYMENT,317448,182958,0,15563,333011,0
436,PAYMENT,757332,271991,0,26155,783487,0
437,PAYMENT,869842,460494,0,149381,1019223,0
438,PAYMENT,443424,34707,0,151409,594833,0
439,DEBIT,721964,702974,0,91155,813119,0
440,PAYMENT,474212,170102,0,132130,606342,0
441,PAYMENT,159576,758842,599266,160928,320504,0
442,TRANSFER,296241,943115,646874,19124,19124,1
443,PAYMENT,759134,245546,0,196733,955867,0
444,DEBIT,875925,847644,0,146470,1022395,0
445,PAYMENT,924242,6570,0,68785,993027,0
446,PAYMENT,79241,12115,0,39062,118303,0
447,PAYMENT,294800,995635,700835,128335,423135,0
448,CASH_OUT,397786,121863,0,123008,520794,0
449,TRANSFER,678656,630111,0,12373,12373,1
450,PAYMENT,48420,964918,916498,146649,195069,0
451,PAYMENT,781825,448625,0,28625,810450,0
452,TRANSFER,36587,459054,422467,50138,86725,0
453,CASH_OUT,316305,948163,631858,162962,479267,0
454,CASH_OUT,767729,281652,0,158056,925785,0
455,PAYMENT,560447,462785,0,103409,663856,0
456,TRANSFER,530092,978080,447988,111279,641371,0
457,CASH_OUT,642904,522828,0,7114,7114,1
458,CASH_OUT,376288,232549,0,4114,4114,1
459,CASH_OUT,335541,883084,547543,156498,492039,0
460,CASH_OUT,790244,394583,0,16838,16838,1
461,PAYMENT,528114,351296,0,27723,555837,0
462,TRANSFER,887026,664468,0,162396,1049422,0
463,PAYMENT,140099,880112,740013,96546,236645,0
464,PAYMENT,849981,634122,0,191305,1041286,0
465,CASH_OUT,864108,631810,0,6471,870579,0
466,TRANSFER,764457,747419,0,1177,1177,1
467,PAYMENT,283880,606177,322297,53551,337431,0
468,TRANSFER,667023,571107,0,158038,825061,0
469,CASH_OUT,453205,682347,229142,189420,642625,0
470,CASH_OUT,850638,987471,136833,87163,937801,0
471,DEBIT,653191,139978,0,36914,690105,0
472,PAYMENT,471928,770188,298260,168722,640650,0
473,PAYMENT,137184,705475,568291,7151,144335,0
474,TRANSFER,748113,691738,0,144539,892652,0
475,TRANSFER,122099,114793,0,108177,230276,0
476,PAYMENT,699056,940675,241619,86365,785421,0
477,PAYMENT,900546,175211,0,179785,1080331,0
478,CASH_OUT,63746,265798,202052,15600,15600,1
479,TRANSFER,924045,119735,0,107971,1032016,0
480,PAYMENT,321433,763264,441831,152747,474180,0
481,PAYMENT,406989,994170,587181,88204,495193,0
482,TRANSFER,416985,165140,0,183321,600306,0
483,PAYMENT,606317,914391,308074,76153,682470,0
484,PAYMENT,555789,518727,0,119503,675292,0
485,TRANSFER,127934,34084,0,6807,6807,1
486,CASH_OUT,662687,162982,0,65681,728368,0
487,CASH_OUT,196653,461792,265139,127556,324209,0
488,PAYMENT,246342,511083,264741,17633,263975,0
489,PAYMENT,867064,49104,0,172693,1039757,0
490,PAYMENT,540402,92578,0,164827,705229,0
491,PAYMENT,91758,57993,0,158285,250043,0
492,TRANSFER,451100,793853,342753,17727,17727,1
493,PAYMENT,327352,257681,0,94018,421370,0
494,PAYMENT,294154,651176,357022,55754,349908,0
495,DEBIT,946975,444717,0,192018,1138993,0
496,TRANSFER,296137,76329,0,170604,466741,0
497,PAYMENT,897867,112356,0,110944,1008811,0
498,TRANSFER,278700,555655,276955,68008,346708,0
499,TRANSFER,116592,72240,0,10756,127348,0
500,PAYMENT,135427,931988,796561,125703,261130,0
501,CASH_OUT,860326,499499,0,7426,7426,1
502,PAYMENT,398565,251051,0,150273,548838,0
503,PAYMENT,511878,780641,268763,9686,521564,0
504,PAYMENT,359787,656021,296234,175915,535702,0
505,PAYMENT,42928,835036,792108,10526,53454,0
506,CASH_OUT,291226,786639,495413,88733,379959,0
507,PAYMENT,257011,68619,0,160400,417411,0
508,PAYMENT,151275,170963,19688,141826,293101,0
509,CASH_OUT,98640,859414,760774,48231,146871,0
510,PAYMENT,514103,193783,0,172395,686498,0
511,PAYMENT,737665,884884,147219,144467,882132,0
512,TRANSFER,56373,258503,202130,119968,176341,0
513,TRANSFER,10799,196133,185334,16163,16163,1
514,PAYMENT,743637,522988,0,124481,868118,0
515,PAYMENT,559973,817114,257141,178936,738909,0
516,TRANSFER,448430,389954,0,18073,466503,0
517,TRANSFER,233882,614661,380779,65450,299332,0
518,TRANSFER,726431,457828,0,98864,825295,0
519,PAYMENT,287413,87468,0,34594,322007,0
520,TRANSFER,45133,587421,542288,183362,228495,0
521,CASH_OUT,564849,467016,0,6721,6721,1
522,PAYMENT,969734,654801,0,104211,1073945,0
523,TRANSFER,487789,923160,435371,194812,682601,0
524,CASH_OUT,643335,729182,85847,31055,674390,0
525,CASH_OUT,145888,638387,492499,182184,328072,0
526,CASH_OUT,202480,441460,238980,2964,2964,1
527,PAYMENT,672380,556110,0,177731,850111,0
528,PAYMENT,482415,7967,0,110719,593134,0
529,PAYMENT,208624,729630,521006,164685,373309,0
530,CASH_OUT,707648,841531,133883,117407,825055,0
531,PAYMENT,872801,60545,0,39922,912723,0
532,TRANSFER,567301,359177,0,3850,3850,1
533,CASH_OUT,485378,906295,420917,5078,5078,1
534,PAYMENT,685254,716948,31694,181403,866657,0
535,PAYMENT,926678,137478,0,97359,1024037,0
536,TRANSFER,565956,621827,55871,54823,620779,0
537,CASH_OUT,984522,427387,0,9011,9011,1
538,TRANSFER,496137,249062,0,173540,669677,0
539,CASH_OUT,333473,99071,0,1549,1549,1
540,PAYMENT,497760,76373,0,69252,567012,0
